W1_ideo5,text,created_at,status_id,annotation_html,annotation_instruction,annotation_response,annotation_flagged
1,"Donald Trump today 

""Steve Bannon.  I don't know him very well.  I am told he is a nice man.  I don't really remember him.  I am told he ran some things and introduced me to this beautiful bunch of people called QAnon.""",2020-08-21T03:52:48Z,1296656471275561e3,"<div style='padding: 10px; margin: 10px;'><p>Donald Trump today 

""Steve Bannon.  I don't know him very well.  I am told he is a nice man.  I don't really remember him.  I am told he ran some things and introduced me to this beautiful bunch of people called QAnon.""</p><p style='font-size: 10px;'>2020-08-21 03:52:48</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,1
1,@CarminRosado Leadership is both: passive and active! @ass_deans,2020-07-24T13:43:41Z,1286658314705805300,<div style='padding: 10px; margin: 10px;'><p>@CarminRosado Leadership is both: passive and active! @ass_deans</p><p style='font-size: 10px;'>2020-07-24 13:43:41</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @IngeStark3: SACHA BARON COHEN'S MISSION.,2020-10-25T08:20:29Z,1320279048199803e3,<div style='padding: 10px; margin: 10px;'><p>RT @IngeStark3: SACHA BARON COHEN'S MISSION.</p><p style='font-size: 10px;'>2020-10-25 08:20:29</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @dylanmarron: The only “correct” way to protest is to have done it in the past. People who love Rosa Parks today would have hated her in…,2020-06-06T20:09:25Z,1269360766861430800,<div style='padding: 10px; margin: 10px;'><p>RT @dylanmarron: The only “correct” way to protest is to have done it in the past. People who love Rosa Parks today would have hated her in…</p><p style='font-size: 10px;'>2020-06-06 20:09:25</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @Rogers4Texas: My Grandfather, my dad, and I just hanging out in our Antifa uniforms. ✊ https://t.co/0yySrz88or",2020-10-16T22:44:49Z,1317235075512062e3,"<div style='padding: 10px; margin: 10px;'><p>RT @Rogers4Texas: My Grandfather, my dad, and I just hanging out in our Antifa uniforms. ✊ https://t.co/0yySrz88or</p><p style='font-size: 10px;'>2020-10-16 22:44:49</p></div>",Does this tweet support or oppose Black Lives Matter?,1,1
1,"*pinches bridge of nose* so over 60 buses — not to be “the bus guy” but, y’know, I did the research on this once — full of rioters and looters who are, I guess, chillin’ for the two hour drive to your town, are hurtling down the I-90, but unstoppable.

Jesus fuck, white people. https://t.co/mDvNKkZXdj",2020-06-04T03:35:00Z,1268385738309226500,"<div style='padding: 10px; margin: 10px;'><p>*pinches bridge of nose* so over 60 buses — not to be “the bus guy” but, y’know, I did the research on this once — full of rioters and looters who are, I guess, chillin’ for the two hour drive to your town, are hurtling down the I-90, but unstoppable.

Jesus fuck, white people. https://t.co/mDvNKkZXdj</p><p style='font-size: 10px;'>2020-06-04 03:35:00</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"Dude literally just, on camera, wondered aloud whether ending slavery was good for Black people. https://t.co/eRZcdHpxsN",2020-06-13T02:47:33Z,1271635288679424e3,"<div style='padding: 10px; margin: 10px;'><p>Dude literally just, on camera, wondered aloud whether ending slavery was good for Black people. https://t.co/eRZcdHpxsN</p><p style='font-size: 10px;'>2020-06-13 02:47:33</p></div>",Does this tweet support or oppose Black Lives Matter?,1,0
1,"RT @cfomba_: A young black man was lynched on Feb. 23,2020 in Brunswick,Georgia. His killers roam free- a former cop &amp; son- permitted to mu…",2020-05-07T22:57:55Z,1258531537781317600,"<div style='padding: 10px; margin: 10px;'><p>RT @cfomba_: A young black man was lynched on Feb. 23,2020 in Brunswick,Georgia. His killers roam free- a former cop &amp; son- permitted to mu…</p><p style='font-size: 10px;'>2020-05-07 22:57:55</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @AriBerman: Trump campaign targeted 3.5 million Black people in 2016 to deter them from voting,2020-09-30T02:01:07Z,1311123881831276500,<div style='padding: 10px; margin: 10px;'><p>RT @AriBerman: Trump campaign targeted 3.5 million Black people in 2016 to deter them from voting</p><p style='font-size: 10px;'>2020-09-30 02:01:07</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @HelenMagi: @BBCRadio2 @GretaThunberg This young woman is inspiring - a prophetic voice.

#climateemergency  #bbcsounds",2020-07-14T10:18:11Z,1282982719413264400,"<div style='padding: 10px; margin: 10px;'><p>RT @HelenMagi: @BBCRadio2 @GretaThunberg This young woman is inspiring - a prophetic voice.

#climateemergency  #bbcsounds</p><p style='font-size: 10px;'>2020-07-14 10:18:11</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @RBraceySherman: I wish moderators would #AskAboutAbortion of Buttigieg; when I asked about minors’ access to abortion, he would not ans…",2020-02-08T02:40:07Z,1225972546849398800,"<div style='padding: 10px; margin: 10px;'><p>RT @RBraceySherman: I wish moderators would #AskAboutAbortion of Buttigieg; when I asked about minors’ access to abortion, he would not ans…</p><p style='font-size: 10px;'>2020-02-08 02:40:07</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @wirelesshogan: Systemic white supremacy means a white man from Utah who attends a Black Lives Matter rally is more newsworthy than a Na…,2020-06-08T22:22:24Z,1270119012819665e3,<div style='padding: 10px; margin: 10px;'><p>RT @wirelesshogan: Systemic white supremacy means a white man from Utah who attends a Black Lives Matter rally is more newsworthy than a Na…</p><p style='font-size: 10px;'>2020-06-08 22:22:24</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"@imraansiddiqi No matter what word I think of none really fit, I mean even a turd does more for people than McConnell does.",2020-11-09T20:34:49Z,1325899667557642200,"<div style='padding: 10px; margin: 10px;'><p>@imraansiddiqi No matter what word I think of none really fit, I mean even a turd does more for people than McConnell does.</p><p style='font-size: 10px;'>2020-11-09 20:34:49</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @UN: ""It is time to stop trying to change women, and start changing the systems that prevent them from achieving their potential.""

-- @…",2020-03-02T11:19:46Z,1234438240985403400,"<div style='padding: 10px; margin: 10px;'><p>RT @UN: ""It is time to stop trying to change women, and start changing the systems that prevent them from achieving their potential.""

-- @…</p><p style='font-size: 10px;'>2020-03-02 11:19:46</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @jemelehill: For those scoring at home, a white supremacist found a job in the NFL, but Colin Kaepernick isn’t welcome.",2020-04-26T23:17:37Z,1254550229766078500,"<div style='padding: 10px; margin: 10px;'><p>RT @jemelehill: For those scoring at home, a white supremacist found a job in the NFL, but Colin Kaepernick isn’t welcome.</p><p style='font-size: 10px;'>2020-04-26 23:17:37</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,Yesterday I was asked by a professor to lead an anti-racism class for the entire graduate school of education. No mention of compensation. I'm a Black student in the department and it appears that I'm being asked for free labor to dismantle White supremacy. Ridiculous. https://t.co/7ImbirqOX3,2020-08-14T15:31:34Z,1294295609936171e3,<div style='padding: 10px; margin: 10px;'><p>Yesterday I was asked by a professor to lead an anti-racism class for the entire graduate school of education. No mention of compensation. I'm a Black student in the department and it appears that I'm being asked for free labor to dismantle White supremacy. Ridiculous. https://t.co/7ImbirqOX3</p><p style='font-size: 10px;'>2020-08-14 15:31:34</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,democrats spent the entire campaign hand wringing about what white moderates would think and then. white women voted for trump even more and the election was ultimately decided by the black organizers whose politic they said were unrealistic and would lose the election,2020-11-06T18:32:53Z,1324781817048817700,<div style='padding: 10px; margin: 10px;'><p>democrats spent the entire campaign hand wringing about what white moderates would think and then. white women voted for trump even more and the election was ultimately decided by the black organizers whose politic they said were unrealistic and would lose the election</p><p style='font-size: 10px;'>2020-11-06 18:32:53</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @LoriMBryan: It's my birthday today and all I want is to overthrow our white supremacist, capitalist, patriarchal, oligarchic regime! Wh…",2020-06-07T15:47:12Z,1269657168120250400,"<div style='padding: 10px; margin: 10px;'><p>RT @LoriMBryan: It's my birthday today and all I want is to overthrow our white supremacist, capitalist, patriarchal, oligarchic regime! Wh…</p><p style='font-size: 10px;'>2020-06-07 15:47:12</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @donwinslow: Dear @realDonaldTrump 

You championed these disgusting racists.

You refused to condemn them.

You told them to stand by.…",2020-11-15T08:08:11Z,1327886100048859100,"<div style='padding: 10px; margin: 10px;'><p>RT @donwinslow: Dear @realDonaldTrump 

You championed these disgusting racists.

You refused to condemn them.

You told them to stand by.…</p><p style='font-size: 10px;'>2020-11-15 08:08:11</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @JudyWoodruff: the definition of courage: listen to this young woman whose family lost everything in an Oregon wildfire https://t.co/n60…,2020-11-13T02:57:52Z,1327083230953042e3,<div style='padding: 10px; margin: 10px;'><p>RT @JudyWoodruff: the definition of courage: listen to this young woman whose family lost everything in an Oregon wildfire https://t.co/n60…</p><p style='font-size: 10px;'>2020-11-13 02:57:52</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @hamdia_ahmed: Black people are not asking white people to take responsibility for what your ancestors did. 

We are asking you to ackno…",2020-09-14T18:13:00Z,1305570258418307e3,"<div style='padding: 10px; margin: 10px;'><p>RT @hamdia_ahmed: Black people are not asking white people to take responsibility for what your ancestors did. 

We are asking you to ackno…</p><p style='font-size: 10px;'>2020-09-14 18:13:00</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,George Floyd's Death Shows the State Fails Black People https://t.co/9IpIJaXYhL,2020-05-30T13:42:37Z,1266726712932515800,<div style='padding: 10px; margin: 10px;'><p>George Floyd's Death Shows the State Fails Black People https://t.co/9IpIJaXYhL</p><p style='font-size: 10px;'>2020-05-30 13:42:37</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @battletested5: White people have been showing their asses with bullshit protests for WEEKS because their favorite bar is shut down inst…,2020-05-07T22:54:36Z,1258530700883423200,<div style='padding: 10px; margin: 10px;'><p>RT @battletested5: White people have been showing their asses with bullshit protests for WEEKS because their favorite bar is shut down inst…</p><p style='font-size: 10px;'>2020-05-07 22:54:36</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @BandyXLee1: @djhanson_87 He is also a powerless man.  He only has the power we give him.  There are many more powerful people in this n…,2020-05-22T00:59:27Z,1263635550126452700,<div style='padding: 10px; margin: 10px;'><p>RT @BandyXLee1: @djhanson_87 He is also a powerless man.  He only has the power we give him.  There are many more powerful people in this n…</p><p style='font-size: 10px;'>2020-05-22 00:59:27</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,The Short Tenure and Abrupt Ouster of Banking’s Sole Black C.E.O. https://t.co/4cYhOKc5Pl,2020-10-03T20:18:28Z,1312487204283842600,<div style='padding: 10px; margin: 10px;'><p>The Short Tenure and Abrupt Ouster of Banking’s Sole Black C.E.O. https://t.co/4cYhOKc5Pl</p><p style='font-size: 10px;'>2020-10-03 20:18:28</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @dodo: Watch this little white fawn blossom into the bravest deer! https://t.co/t1jUcv7jGe,2020-10-04T18:36:47Z,1312824001006375e3,<div style='padding: 10px; margin: 10px;'><p>RT @dodo: Watch this little white fawn blossom into the bravest deer! https://t.co/t1jUcv7jGe</p><p style='font-size: 10px;'>2020-10-04 18:36:47</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,@mrsEritter Definitely!,2020-01-19T00:20:42Z,1218689705480376300,<div style='padding: 10px; margin: 10px;'><p>@mrsEritter Definitely!</p><p style='font-size: 10px;'>2020-01-19 00:20:42</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @TalbertSwan: Trump’s behavior is a model in how a privileged white man who was born into wealth, given everything on a silver platter,…",2020-12-13T04:13:57Z,1337974012526342100,"<div style='padding: 10px; margin: 10px;'><p>RT @TalbertSwan: Trump’s behavior is a model in how a privileged white man who was born into wealth, given everything on a silver platter,…</p><p style='font-size: 10px;'>2020-12-13 04:13:57</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"@DavidRosaIes Nice.
Is that a copper color?",2020-09-13T20:49:42Z,1305247304547356700,"<div style='padding: 10px; margin: 10px;'><p>@DavidRosaIes Nice.
Is that a copper color?</p><p style='font-size: 10px;'>2020-09-13 20:49:42</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,Maple Grove woman charged with murdering boyfriend after fight | https://t.co/kFO8tNkBcJ https://t.co/npx82upu7z,2020-03-10T15:51:36Z,1237405754082164700,<div style='padding: 10px; margin: 10px;'><p>Maple Grove woman charged with murdering boyfriend after fight | https://t.co/kFO8tNkBcJ https://t.co/npx82upu7z</p><p style='font-size: 10px;'>2020-03-10 15:51:36</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @TomthunkitsMind: NOTICE THE DIFFERENCE HOW WHITE COPS TREAT WHITE FELONS:

If Rayshard Brooks were white you would see the reason for s…",2020-08-12T02:57:49Z,1293381146236145700,"<div style='padding: 10px; margin: 10px;'><p>RT @TomthunkitsMind: NOTICE THE DIFFERENCE HOW WHITE COPS TREAT WHITE FELONS:

If Rayshard Brooks were white you would see the reason for s…</p><p style='font-size: 10px;'>2020-08-12 02:57:49</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @scott4670: Indeed.  Covid19 does not discriminate within the age groups. https://t.co/8aIcdfoAgY,2020-03-24T02:13:52Z,124227339537664e4,<div style='padding: 10px; margin: 10px;'><p>RT @scott4670: Indeed.  Covid19 does not discriminate within the age groups. https://t.co/8aIcdfoAgY</p><p style='font-size: 10px;'>2020-03-24 02:13:52</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @TheProspect: ""White supremacy had its appeal to many whites then, and it has its appeal to some whites now. The menace of redemption ma…",2020-07-04T16:01:48Z,1279445315385536500,"<div style='padding: 10px; margin: 10px;'><p>RT @TheProspect: ""White supremacy had its appeal to many whites then, and it has its appeal to some whites now. The menace of redemption ma…</p><p style='font-size: 10px;'>2020-07-04 16:01:48</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @biyilinglaozu: I think a lot about this post. https://t.co/NgKmNkcl68,2020-09-08T15:58:56Z,1303362191375073300,<div style='padding: 10px; margin: 10px;'><p>RT @biyilinglaozu: I think a lot about this post. https://t.co/NgKmNkcl68</p><p style='font-size: 10px;'>2020-09-08 15:58:56</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @TomthunkitsMind: Attention white supremacists:
Here comes the future... and she ain’t takin’ nothin' from nobody.

https://t.co/2wkvOET…",2020-06-16T15:12:44Z,1272909983815028700,"<div style='padding: 10px; margin: 10px;'><p>RT @TomthunkitsMind: Attention white supremacists:
Here comes the future... and she ain’t takin’ nothin' from nobody.

https://t.co/2wkvOET…</p><p style='font-size: 10px;'>2020-06-16 15:12:44</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @harrisonjaime: As a Black man raising two boys this kind of hate is always our worst nightmare. 

As his family seeks #JusticeForAhmaud…",2020-05-07T05:15:03Z,1258264056303149e3,"<div style='padding: 10px; margin: 10px;'><p>RT @harrisonjaime: As a Black man raising two boys this kind of hate is always our worst nightmare. 

As his family seeks #JusticeForAhmaud…</p><p style='font-size: 10px;'>2020-05-07 05:15:03</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @jilevin: I am a proud liberal! https://t.co/iMQhoQ6qum,2020-07-21T11:08:34Z,1285532112846835700,<div style='padding: 10px; margin: 10px;'><p>RT @jilevin: I am a proud liberal! https://t.co/iMQhoQ6qum</p><p style='font-size: 10px;'>2020-07-21 11:08:34</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,Arrest the cops who robbed the world of this vibrant young woman. https://t.co/oOcgi1KE0H,2020-06-13T22:06:45Z,1271927011032936400,<div style='padding: 10px; margin: 10px;'><p>Arrest the cops who robbed the world of this vibrant young woman. https://t.co/oOcgi1KE0H</p><p style='font-size: 10px;'>2020-06-13 22:06:45</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @natsechobbyist: Working tirelessly for the American people!!! https://t.co/21DLxMt6Sl,2020-12-28T02:13:24Z,1343379492312674300,<div style='padding: 10px; margin: 10px;'><p>RT @natsechobbyist: Working tirelessly for the American people!!! https://t.co/21DLxMt6Sl</p><p style='font-size: 10px;'>2020-12-28 02:13:24</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,So Shannon Brown was immediately arrested. Funny how Stand Your Ground only applies to people who murder unarmed black men in cold blood. https://t.co/AQYcAyhiEC,2020-05-09T15:01:32Z,1259136426211528700,<div style='padding: 10px; margin: 10px;'><p>So Shannon Brown was immediately arrested. Funny how Stand Your Ground only applies to people who murder unarmed black men in cold blood. https://t.co/AQYcAyhiEC</p><p style='font-size: 10px;'>2020-05-09 15:01:32</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @lappthebrand: Justice for #AhmaudAubrey who was  murdered while jogging in the neighborhood. The father and son still haven’t been arre…,2020-05-07T23:00:11Z,1258532108760281e3,<div style='padding: 10px; margin: 10px;'><p>RT @lappthebrand: Justice for #AhmaudAubrey who was  murdered while jogging in the neighborhood. The father and son still haven’t been arre…</p><p style='font-size: 10px;'>2020-05-07 23:00:11</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @TomthunkitsMind: Attention white supremacists:
Here comes the future... and she ain’t takin’ nothin' from nobody.

https://t.co/2wkvOET…",2020-06-20T20:21:29Z,1274437236709359600,"<div style='padding: 10px; margin: 10px;'><p>RT @TomthunkitsMind: Attention white supremacists:
Here comes the future... and she ain’t takin’ nothin' from nobody.

https://t.co/2wkvOET…</p><p style='font-size: 10px;'>2020-06-20 20:21:29</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @MozFrame: MURDER is LEGAL for WHITE COPS.

End the serial race Killings of black people, by racist psychopaths who have swapped their k…",2020-05-28T21:31:28Z,1266119926433165300,"<div style='padding: 10px; margin: 10px;'><p>RT @MozFrame: MURDER is LEGAL for WHITE COPS.

End the serial race Killings of black people, by racist psychopaths who have swapped their k…</p><p style='font-size: 10px;'>2020-05-28 21:31:28</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @hamdia_ahmed: It is not up to black people to dismantle white supremacy. 

White people have to dismantle white supremacy. They need to…",2020-06-01T02:16:23Z,1267278793288417300,"<div style='padding: 10px; margin: 10px;'><p>RT @hamdia_ahmed: It is not up to black people to dismantle white supremacy. 

White people have to dismantle white supremacy. They need to…</p><p style='font-size: 10px;'>2020-06-01 02:16:23</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @TheRealHoarse: Maybe this is why people think #LindseyHasCOVID. https://t.co/Er4W9suJtj,2020-10-09T22:25:43Z,1314693553801502700,<div style='padding: 10px; margin: 10px;'><p>RT @TheRealHoarse: Maybe this is why people think #LindseyHasCOVID. https://t.co/Er4W9suJtj</p><p style='font-size: 10px;'>2020-10-09 22:25:43</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"Listening to [white] people speculate about why there aren't enough POC in STEM and someone suggests ""we have to get POC interested in STEM"" and you are sitting there as a POC in STEM and you can actually give 1001 reasons that have nothing to do with level of interest in STEM. https://t.co/VP8GnmmDTH",2020-08-15T02:10:40Z,1294456442527928300,"<div style='padding: 10px; margin: 10px;'><p>Listening to [white] people speculate about why there aren't enough POC in STEM and someone suggests ""we have to get POC interested in STEM"" and you are sitting there as a POC in STEM and you can actually give 1001 reasons that have nothing to do with level of interest in STEM. https://t.co/VP8GnmmDTH</p><p style='font-size: 10px;'>2020-08-15 02:10:40</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"Overly racist white privilege is being pissed of and angry at statues of the losing side of the Civil War being torn down, but advocating for the desecration of sacred indigenous burial grounds for an oil pipeline.",2020-06-24T23:57:15Z,1275941087358713900,"<div style='padding: 10px; margin: 10px;'><p>Overly racist white privilege is being pissed of and angry at statues of the losing side of the Civil War being torn down, but advocating for the desecration of sacred indigenous burial grounds for an oil pipeline.</p><p style='font-size: 10px;'>2020-06-24 23:57:15</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,RT @jilevin: I am a proud liberal! https://t.co/Kqvc9shShX,2020-08-14T23:51:21Z,1294421383699718100,<div style='padding: 10px; margin: 10px;'><p>RT @jilevin: I am a proud liberal! https://t.co/Kqvc9shShX</p><p style='font-size: 10px;'>2020-08-14 23:51:21</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"Some white supremacist started an OnlyFans page &amp; it’s bonkers! Check it out

https://t.co/mWimt84Usa",2020-08-26T06:06:42Z,1298502109801918500,"<div style='padding: 10px; margin: 10px;'><p>Some white supremacist started an OnlyFans page &amp; it’s bonkers! Check it out

https://t.co/mWimt84Usa</p><p style='font-size: 10px;'>2020-08-26 06:06:42</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @TomthunkitsMind: READ MY OP-ED: CAPITALISM Is Guilty For Racism In America
Racism is inextricably intertwined in capitalism. Racism is…",2020-09-06T02:54:36Z,1302440033148960800,"<div style='padding: 10px; margin: 10px;'><p>RT @TomthunkitsMind: READ MY OP-ED: CAPITALISM Is Guilty For Racism In America
Racism is inextricably intertwined in capitalism. Racism is…</p><p style='font-size: 10px;'>2020-09-06 02:54:36</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @RealTimBlack: Hilarious to see white privileged, big money donor-funded, raised in segregated towns  (1% black population) try and tell…",2020-07-31T01:36:50Z,1289012109339132e3,"<div style='padding: 10px; margin: 10px;'><p>RT @RealTimBlack: Hilarious to see white privileged, big money donor-funded, raised in segregated towns  (1% black population) try and tell…</p><p style='font-size: 10px;'>2020-07-31 01:36:50</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
1,@NCsamL @Vay16463758 @shaunking so you don't remember how a crazed white hispanic followed and shot and killed a young black kid in Florida? He won that case even though he pursued an unarmed kid who did nothing to anyone. You lack a moral compass or a brain.,2020-10-13T13:29:24Z,1316008134100557800,<div style='padding: 10px; margin: 10px;'><p>@NCsamL @Vay16463758 @shaunking so you don't remember how a crazed white hispanic followed and shot and killed a young black kid in Florida? He won that case even though he pursued an unarmed kid who did nothing to anyone. You lack a moral compass or a brain.</p><p style='font-size: 10px;'>2020-10-13 13:29:24</p></div>,Does this tweet support or oppose Black Lives Matter?,-1,0
1,"RT @Kokomothegreat: These are fun. 

7. https://t.co/SAAiLZxSkE",2020-02-16T00:37:03Z,1228840681684099e3,"<div style='padding: 10px; margin: 10px;'><p>RT @Kokomothegreat: These are fun. 

7. https://t.co/SAAiLZxSkE</p><p style='font-size: 10px;'>2020-02-16 00:37:03</p></div>",Does this tweet support or oppose Black Lives Matter?,-1,0
